counter,sudut,v,f1,f2,dampf1,dampf2
01,-3,0,4.64321381299522,8.774489683839676,-0.02241440243320629,-0.29117017948514995
02,-3,2.4,4.64178327283538,8.770376998522302,-0.036129746943036486,-0.2005103212366592
03,-3,3.3,4.643982139758916,8.76981238484585,-0.04684618088734449,-0.23211059161427222
04,-3,4.1,4.645849557680827,8.770782367997146,-0.04825251136849083,-0.26669244737045783
05,-3,4.8,4.643295988240471,8.778011948710722,-0.07133217845560398,-0.10427936769486569
06,-3,5.5,4.64817044097387,8.756179964090576,-0.0801505090465458,-0.6372140995251571
07,-3,6.2,4.624525377783163,8.77737425598097,0.19823753539773922,1.0277903791011578
08,-3,6.5,4.6427431986969925,8.778897887517145,-0.09417239530512439,1.676643156076197
09,-3,6.9,4.658486811849222,8.777799876258673,-0.08486974382810615,-0.5865715924680249
10,-3,7.2,4.65420476469181,8.79174482656598,-0.06888546610751237,-0.569681668523779
11,-3,7.6,4.656181086567817,8.780372819535282,-0.07868303018812937,-0.5451872356848696
12,-3,8.0,4.65510366022567,8.78148084366605,-0.08505077248053344,-0.16787128570643467
13,-3,8.3,4.660518892090916,8.790593407963955,-0.07157335177038071,-0.2834933603728752
14,-3,8.6,4.664257969497395,8.786678328758383,-0.0970011892689399,-0.23221153067072678
15,-3,9.0,4.616205307997628,8.746437296287583,0.17604167470181614,0.34384759728126324
16,-3,9.2,4.6627272763679875,8.772848560319542,-0.10274796904604495,-0.45326258937651087
17,-3,9.7,4.661655726485032,8.731525170570611,-0.12429664411781724,-3.5309299800960297
18,-3,9.9,4.66537323056649,8.79673712831194,-0.11041766040015573,-0.25368009666975744
19,-3,10.2,4.631063473467921,8.709932776698203,0.24424474574934982,0.3254369879074842
20,-3,10.8,4.6385312180652365,8.77076656557798,0.03399208311286684,0.09473667178902431
21,-3,11.0,4.657804224190459,8.791325434263621,-0.054992613423183095,-0.49345071561075793
22,-3,11.5,4.669824876079232,8.683068327558894,-0.09369841354972462,-0.3281424250034678
23,-3,11.8,4.6528151818660985,8.685800838008637,-0.0290835681817029,-0.4846014733479067
24,-3,12.2,4.674702503302535,8.739528190972456,-0.03869179665713021,1.0071295752131477
25,-3,12.5,4.661576341535283,8.729962979020264,-0.2516673538972264,-0.35708975278389854
26,-3,12.9,4.675073193048304,8.769941607185714,-0.1947850789912966,-0.1405018035202084
27,-3,13.0,4.658459682830053,8.663384511996023,0.05258262997770258,1.4181452042857519
28,-3,13.4,4.683054966506892,8.726562852866607,-0.22432837594158211,-0.242966822321858
29,-3,13.8,4.683449592038872,8.771222768292658,-0.07631868028252699,-1.2134383088001042
30,-3,14.0,4.6605394846688375,8.723232222655419,-0.25035679343688133,0.6284499236599621
31,-3,14.5,4.669790608083544,8.74119723792007,-0.16920254045078098,-0.6834679177761298
32,-3,14.9,4.677138065613231,8.681250203133082,-0.1584247695313393,-0.41761667821968407
33,-3,15.8,4.67765130352209,8.737409007423388,-0.016861997788792302,-0.1718357281014039
34,-3,16.1,4.657513045399457,8.638553524708064,-0.060932662003439754,-0.5734446682286728
35,-3,17.2,4.712622770087329,8.669975280832897,-0.16837344069849566,-0.32903341828820126
36,-3,17.9,4.584101815545839,8.700252977027372,-1.5331890116584501,0.5002896901779202
37,-3,18.7,4.646618649459471,8.705701206700542,-0.36235774542320903,-0.8358959372030854
38,-3,19.5,4.821324503199806,8.781013037890405,0.2677480631897708,-0.6554769485951897
01,0,0.0,4.639081184614823,8.782887197687907,-0.024312269292490106,-0.278372418688725
02,0,2.5,4.617565359442433,8.738871900235825,0.11527383617805487,1.701657223680124
03,0,3.2,4.622437077568802,8.74473796323971,0.055888416509476214,2.072607198770946
04,0,3.8,4.614291967842246,8.734944883401374,0.18302793857582386,1.7413406174020691
05,0,4.7,4.625165680598284,8.743857277179302,-0.16469792675877776,-1.1011340394201685
06,0,5.3,4.620721452181427,8.586549714609992,-0.06940240609206937,-8.639939529857855
07,0,6.0,4.629692198180417,8.756858952040167,0.11128081354010534,1.2888015898440113
08,0,6.5,4.69726219384827,8.799694352418676,0.28032680077358574,-3.5154611782136183
09,0,6.8,4.638833337502005,8.719799612094882,-0.06695240574972167,-0.11923594875828149
10,0,7.1,4.633795439123577,8.703031802961764,-0.275999291748321,2.102738408670099
11,0,7.4,4.628936443841959,8.651942874129997,-0.02844104875734783,1.6473421299618825
12,0,8.0,4.633595987075968,8.6929757350689,-0.10343949458164865,-3.2560509947188687
13,0,8.3,4.612146384941347,8.66305063033605,0.04281875068521996,0.8360269269784443
14,0,8.5,4.62517877602158,8.664322137686913,-0.04218833485085503,0.7638793966406678
15,0,8.9,4.6354843484510955,8.66077105434631,-0.09686252654670335,0.9646857098067904
16,0,9.2,4.66579954743198,8.667439653256972,-0.48033936786906917,-2.173392929697252
17,0,9.5,4.673784344430413,8.655489384525373,-0.5070495628909532,-2.6405430463853823
18,0,9.8,4.6346091456859515,8.66417822185222,0.14430007301915299,1.1413222906607372
19,0,10.3,4.625112271976138,8.68581732240129,-0.07646243436198116,1.0064680146423024
20,0,10.6,4.634053830101685,8.67644931737185,-0.13239703390140917,0.9011455515253846
21,0,10.9,4.638717437694624,8.686127321523385,-0.15711706867067338,0.6911345365063799
22,0,11.4,4.610913568096054,8.620907574312938,0.15692447888104577,2.1073742527988606
23,0,11.8,4.636639136345888,8.687128560149029,-0.16530746377510772,0.7526841062772632
24,0,12.1,4.612202070718966,8.67737512659927,0.17707163867038722,1.795663028112772
25,0,12.4,4.64052804876703,8.656478167403847,-0.13812868976285445,-1.105435311519345
26,0,12.9,4.617261881649582,8.632938172704794,0.12728645773740688,1.618727392426681
27,0,13.2,4.64778434052817,8.662827906258551,-0.09939196633745266,-0.8788645564612136
28,0,13.5,4.625403877068006,8.619997478914176,0.16764522071232305,1.8429930488367445
29,0,13.9,4.647644644490391,8.677634785009765,-0.10391243149435134,-0.7043620058426394
30,0,14.2,4.592242169393796,8.628601320486553,-0.26556522368231755,-1.8341097594724483
31,0,14.5,4.647963675794835,8.698292533650823,-0.14882425459138668,-0.846804141790148
32,0,15.3,4.663350278535343,8.698835977055928,-0.0707399928287453,-1.478329609905771
33,0,15.9,4.642200621157254,8.595729525337967,-0.5587925765837954,4.434717460156806
34,0,16.6,4.6396450894704495,8.662417312224711,-0.14314064827258619,-0.4334758723795734
35,0,17.3,4.65280187208832,8.660241858384545,-0.17290211987849907,4.121046984976253
36,0,17.6,4.7007080094913976,8.684118597811903,-0.37502758381249185,0.728615613505695
37,0,18.8,4.653528256721191,8.593705734324663,0.03598700755327547,1.7594266040479234
38,0,19.2,4.618554680158444,8.619725080793764,0.08359673723783062,0.8309257104074881
01,3,0.0,4.625018448149303,8.771220146919092,-0.0433562743580597,1.21882684987506
02,3,2.9,4.633971430542737,8.754152864345395,-0.015022584488207497,-0.6207004658901717
03,3,3.6,4.629457603444808,8.76873169555743,-0.05647401999049191,-0.047939676662019474
04,3,4.2,4.629638891044094,8.718882625533272,-0.031550839101092895,-0.2884923332824972
05,3,4.8,4.6361451579035515,8.765240505104781,-0.06136453646518117,1.0747418032177638
06,3,5.6,4.635416293891713,8.709994600945576,-0.043908069727743,-0.6711410972638138
07,3,6.3,4.6294311941848125,8.711965609143988,-0.07783032649425585,-0.4511156210602649
08,3,6.5,4.664375803959536,8.715330518725166,-0.3112234310314929,-4.1776430829857505
09,3,7.0,4.610446667778956,8.720594598462528,0.06048398429832959,0.6760526265201308
10,3,7.3,4.603353891839411,8.706502482393436,0.04561149695325752,0.05073559036577639
11,3,7.7,4.615931935011675,8.713214725591886,-0.035493169971561385,0.29862534802775603
12,3,8.0,4.62424611541387,8.715143193077873,-0.027729323407437095,-0.38907843394227676
13,3,8.5,4.628220582670262,8.7132483216485,-0.07328945120811638,0.1036462772362828
14,3,8.8,4.646970035827657,8.718391581064445,0.14968917828305484,-0.011143006561352706
15,3,9.0,4.673002217796167,8.692434037335788,0.8123775476004133,-0.21678231681827712
16,3,9.3,4.620456631051029,8.636871262358873,-0.04541975327222498,-0.693497027204086
17,3,9.9,4.639685826872179,8.778999471191527,-0.21037601773591566,0.2055416188842905
18,3,10.1,4.62183615485098,8.703495155527069,-0.14983900105304368,0.02427106866524699
19,3,10.4,4.62523568780398,8.681761134116682,-0.09809178760624496,-0.20133757237764313
20,3,10.8,4.619412918030883,8.676009779400127,-0.23605116819717883,-0.05543239511912427
21,3,11.3,4.616493393168297,8.666157403520181,0.17171418074276937,0.23314538857104317
22,3,11.6,4.621241967654706,8.64975239630753,-0.08528968521283291,1.0321645549347298
23,3,12.0,4.681514788592802,8.706938419964535,-0.5601214715867168,0.5004711820818061
24,3,12.4,4.677921864350493,8.640362515817849,-0.01793638772301669,0.483035194536843
25,3,12.7,4.642131336034628,8.612197837369768,-0.29393075080626146,-0.2391469289596468
26,3,13.0,4.879474948687874,8.758040299946165,1.4148160240947465,-0.39162637906963177
27,3,13.3,4.607899408064096,8.606129323521078,-0.1357205428597866,-0.12412292662289733
28,3,13.7,4.612983236119401,8.726375710296765,-0.05819150413763204,0.05678053613406497
29,3,13.9,4.602359834143649,8.590316522584928,0.08778710306312076,-0.5376806381906875
30,3,14.3,4.689975811773776,8.66271000311718,-0.0016577704187112513,-0.1213801024800666
31,3,14.5,4.607271851655293,8.587998290245357,-0.12819056290536074,-0.10793461629517268
32,3,15.2,4.730903033540999,8.66073898721999,-0.6193799825737842,-0.046376751057318706
33,3,16.1,4.665516620754144,8.60688376030481,0.3431141193743977,-0.014182367561399685
34,3,16.7,4.715075036289489,8.663830574438522,-0.2706239181104568,0.91921873008526
35,3,17.3,4.617523745279554,8.605568166584053,-0.05231850424932536,-0.21801076599270824
36,3,18.2,4.6145887541250366,8.56643976742652,0.8499445721385863,-0.5627176788131626
37,3,19.0,4.7788361448882295,8.656591396653546,0.09490316497129604,0.16946641088545683
38,3,19.7,4.6690872933796514,8.546877056960152,-0.1733192633704118,-0.003226787969329022